time,ozone,ps,pwv
2017-06-10 09:00:00,267.780761719,78480.375,2.58177351952
2017-06-10 10:00:00,268.844482422,78471.9140625,2.5463848114
2017-06-10 11:00:00,270.777099609,78498.5078125,2.54621648788
2017-06-10 12:00:00,272.475952148,78537.6640625,2.58815431595
2017-06-10 13:00:00,274.719116211,78573.0078125,2.6526658535
2017-06-10 14:00:00,276.854400635,78603.0859375,2.7375369072
2017-06-10 15:00:00,278.68548584,78611.0859375,2.88286542892
2017-06-10 16:00:00,278.538787842,78576.9296875,3.06844043732
2017-06-10 17:00:00,277.89855957,78514.375,3.30408668518
2017-06-10 18:00:00,276.835296631,78459.8203125,3.6003818512
2017-06-10 19:00:00,275.746032715,78432.5390625,3.91782474518
2017-06-10 20:00:00,274.988189697,78417.4609375,4.13087511063
2017-06-10 21:00:00,275.315002441,78404.859375,4.14294195175
2017-06-10 22:00:00,278.176818848,78398.3046875,4.04554414749
2017-06-10 23:00:00,279.866088867,78413.9921875,3.92846798897
2017-06-11 00:00:00,280.48260498,78439.4375,3.88088703156
2017-06-11 01:00:00,280.548217773,78459.9296875,3.88500761986
2017-06-11 02:00:00,279.488708496,78474.984375,3.90591144562
2017-06-11 03:00:00,276.634490967,78484.203125,3.92588734627
2017-06-11 04:00:00,273.191986084,78491.03125,3.88989782333
2017-06-11 05:00:00,272.951721191,78490.0546875,3.84826207161
2017-06-11 06:00:00,272.471008301,78493.7109375,3.8295378685
2017-06-11 07:00:00,271.555908203,78487.2734375,3.78305149078
2017-06-11 08:00:00,270.291534424,78479.9453125,3.70254397392
2017-06-11 09:00:00,269.589294434,78472.78125,3.62961864471
2017-06-11 10:00:00,269.900634766,78481.71875,3.61501049995
2017-06-11 11:00:00,270.927124023,78513.84375,3.62652111053
2017-06-11 12:00:00,271.598968506,78555.6640625,3.64677381516
2017-06-11 13:00:00,271.742218018,78595.453125,3.6731095314
2017-06-11 14:00:00,270.884765625,78633.7734375,3.74028110504
